tenant_id,yil,yil_durum,surec,kpi_id,pg,durum,etkin_hedef,config_hedef,snapshot_hedef,temel_hedef,cakisma,config_var,is_included,birim,periyot
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,SNAPSHOT,100,,100,100,,,,%,Yıllık
16,2026,active,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,316,Şirket Genel Kurulları Zamanlamasına Uyum Oranı,FALLBACK,100,,,100,,,,%,Yıllık
16,2020,draft,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,FALLBACK,%90-100,,,%90-100,,,,%,Yıllık
16,2021,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2022,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2023,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2024,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2025,closed,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,SNAPSHOT,%90-100,,%90-100,%90-100,,,,%,Yıllık
16,2026,active,SR1 - ŞİRKET ORGANLARI YÖNETİMİ SÜRECİ,317,Şirket Yönetim Kurulu Toplantıları Takvimine Uyum Oranı,FALLBACK,%90-100,,,%90-100,,,,%,Yıllık
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,375,Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,YOK,,,,,,,,Gün,Çeyreklik
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,YOK,,,,,,,,Gün,Çeyreklik
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,YOK,,,,,,,,Gün,Çeyreklik
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,YOK,,,,,,,,Gün,Çeyreklik
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,YOK,,,,,,,,Gün,Çeyreklik
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,SNAPSHOT,64,,64,,,,,Gün,Çeyreklik
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,404,Bakım Onarım Hizmetleri Ortalama Tedarik Süresi,YOK,,,,,,,,Gün,Çeyreklik
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,384,Gerçekleştirilen Sipariş Sayısı,YOK,,,,,,,,adet,Çeyreklik
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,380,Hediye Edilen Baharat Değirmeni Sayısı,YOK,,,,,,,,adet,Yıllık
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,SNAPSHOT,3,,3,12,EVET,,,Adet,Çeyreklik
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,SNAPSHOT,12,,12,12,,,,Adet,Çeyreklik
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,FALLBACK,12,,,12,,,,Adet,Çeyreklik
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,FALLBACK,12,,,12,,,,Adet,Çeyreklik
16,2024,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,FALLBACK,12,,,12,,,,Adet,Çeyreklik
16,2025,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,FALLBACK,12,,,12,,,,Adet,Çeyreklik
16,2026,active,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,528,Sipariş Başına Alınan Teklif Sayısı Ortalaması,FALLBACK,12,,,12,,,,Adet,Çeyreklik
16,2020,draft,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,SNAPSHOT,%90 - % 100,,%90 - % 100,%90 - % 100,,,,%,6 ay
16,2021,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,FALLBACK,%90 - % 100,,,%90 - % 100,,,,%,6 ay
16,2022,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,FALLBACK,%90 - % 100,,,%90 - % 100,,,,%,6 ay
16,2023,closed,SR10 - TEDARİK YÖNETİMİ SÜREÇ KARNESİ,383,Stok Doğruluk Oranı,FALLBACK,%90 - % 100,,,%90 - % 100,,,,%,6 ay
