Kart Başlığı;Boy;Önerilen MODÜL;modul_code;Önerilen BİLEŞEN (sayfa/sekme);DB Kart?;URL
Son İşlemler;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=denetim;;https://demo.kokpitim.com/k-rapor?tab=denetim
Toplam Bildirim;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Okunan;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Okunmayan;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Son 7 Gün;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Bildirim Türü Dağılımı;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Son 30 Gün Bildirim Trendi;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Okunmayan Bildirimlerin Yaşlanması;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
En Çok Bildirim Alan Kullanıcılar;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=bildirim-analiz;;https://demo.kokpitim.com/k-rapor?tab=bildirim-analiz
Toplam Kullanıcı;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/iki-fa;;https://demo.kokpitim.com/raporlar/iki-fa
2FA Etkin;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/iki-fa;;https://demo.kokpitim.com/raporlar/iki-fa
2FA Yok;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/iki-fa;;https://demo.kokpitim.com/raporlar/iki-fa
Etkinlik %;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/iki-fa;;https://demo.kokpitim.com/raporlar/iki-fa
2FA Dağılım;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/iki-fa;;https://demo.kokpitim.com/raporlar/iki-fa
⚠ 2FA'sı Olmayan Yöneticiler (kritik güvenlik açığı);Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/iki-fa;;https://demo.kokpitim.com/raporlar/iki-fa
DENETÇİ İÇİN HAZIR · PDF;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/audit-paketi;;https://demo.kokpitim.com/raporlar/audit-paketi
PDF Bölümleri;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/audit-paketi;;https://demo.kokpitim.com/raporlar/audit-paketi
Kullanım Amacı;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/audit-paketi;;https://demo.kokpitim.com/raporlar/audit-paketi
Toplam;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/onay-zinciri;;https://demo.kokpitim.com/raporlar/onay-zinciri
Onay Bekliyor;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/onay-zinciri;;https://demo.kokpitim.com/raporlar/onay-zinciri
Onaylanmış;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/onay-zinciri;;https://demo.kokpitim.com/raporlar/onay-zinciri
Reddedilen;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/onay-zinciri;;https://demo.kokpitim.com/raporlar/onay-zinciri
📝 Stratejik Girişim'ler;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/onay-zinciri;;https://demo.kokpitim.com/raporlar/onay-zinciri
SWOT Analizi;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=stratejik-analiz;;https://demo.kokpitim.com/k-rapor?tab=stratejik-analiz
TOWS Matrisi;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=stratejik-analiz;;https://demo.kokpitim.com/k-rapor?tab=stratejik-analiz
PESTEL Analizi;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=stratejik-analiz;;https://demo.kokpitim.com/k-rapor?tab=stratejik-analiz
Porter 5 Kuvvet;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=stratejik-analiz;;https://demo.kokpitim.com/k-rapor?tab=stratejik-analiz
SWOT Madde Sayısı Trendi;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=swot-trend;;https://demo.kokpitim.com/k-rapor?tab=swot-trend
TOWS Strateji Sayısı Trendi;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=swot-trend;;https://demo.kokpitim.com/k-rapor?tab=swot-trend
Yıllık SWOT/TOWS Özet Tablosu;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=swot-trend;;https://demo.kokpitim.com/k-rapor?tab=swot-trend
Toplam Kaynak;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Sürdürülebilir;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Geçici;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Kullanılmayan;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Dezavantaj;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Geçici Rekabet Avantajı 0;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Kullanılmayan Avantaj 0;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Rekabet Paritesi 0;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Rekabetçi Dezavantaj 0;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Sürdürülebilir Rekabet Avantajı 0;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/vrio-portfoy;;https://demo.kokpitim.com/raporlar/vrio-portfoy
Paydaş Haritası;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=paydas;;https://demo.kokpitim.com/k-rapor?tab=paydas
Paydaş Anket Özeti;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=paydas;;https://demo.kokpitim.com/k-rapor?tab=paydas
Rekabetçi Analiz;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=rekabet;;https://demo.kokpitim.com/k-rapor?tab=rekabet
A3 Raporları;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=rekabet;;https://demo.kokpitim.com/k-rapor?tab=rekabet
Kurum Performans Karşılaştırması;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=kurum-karsilastirma;;https://demo.kokpitim.com/k-rapor?tab=kurum-karsilastirma
Kurum Detay Tablosu;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/k-rapor?tab=kurum-karsilastirma;;https://demo.kokpitim.com/k-rapor?tab=kurum-karsilastirma
Otomotiv / Yan SanayiotomotivHAZIR;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Sağlık / HastanesaglikHAZIR;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Finans / BankafinansYAKINDA;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Eğitim / ÜniversiteegitimYAKINDA;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Belediye / KamukamuYAKINDA;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Perakende / ZincirperakendeYAKINDA;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
İnşaat / MüteahhitlikinsaatYAKINDA;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Hizmet / Danışmanlık;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektorel;;https://demo.kokpitim.com/raporlar/sektorel
Ana Strateji;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp/strateji-haritasi;;https://demo.kokpitim.com/sp/strateji-haritasi
Alt Strateji;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp/strateji-haritasi;;https://demo.kokpitim.com/sp/strateji-haritasi
Süreç;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp/strateji-haritasi;;https://demo.kokpitim.com/sp/strateji-haritasi
PG;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp/strateji-haritasi;;https://demo.kokpitim.com/sp/strateji-haritasi
Str. Girişim;Mini Boy Kart (1/4 Kart Boyutu);Stratejik Planlama;stratejik_planlama_modulu;/sp/strateji-haritasi;;https://demo.kokpitim.com/sp/strateji-haritasi
Strateji Haritası;Tam Boy Kart;Stratejik Planlama;stratejik_planlama_modulu;/sp/strateji-haritasi;;https://demo.kokpitim.com/sp/strateji-haritasi
Stratejik Hiyerarşi Sunburst;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sunburst;;https://demo.kokpitim.com/raporlar/sunburst
Yıllar Arası Evrim Filmi;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/evrim-filmi;;https://demo.kokpitim.com/raporlar/evrim-filmi
Hikaye;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/strateji-hikayesi;;https://demo.kokpitim.com/raporlar/strateji-hikayesi
📊 Yıllık Snapshot;2. Ara Boy Kart (2/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/strateji-hikayesi;;https://demo.kokpitim.com/raporlar/strateji-hikayesi
⚡ Kırılım Noktaları;1. Ara Boy Kart (1/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/strateji-hikayesi;;https://demo.kokpitim.com/raporlar/strateji-hikayesi
SEKTÖR: Otomotiv / Yan Sanayi;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektor-benchmark;;https://demo.kokpitim.com/raporlar/sektor-benchmark
Sektör Ortalamaları;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektor-benchmark;;https://demo.kokpitim.com/raporlar/sektor-benchmark
AI Sektör Değerlendirmesi;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/sektor-benchmark;;https://demo.kokpitim.com/raporlar/sektor-benchmark
Toplam Bütçe;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Harcanan;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Kalan;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Bütçe Aşan;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
LLM Maliyet (30g);Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Recurring Task;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
En Büyük 5 Stratejik Girişim;2. Ara Boy Kart (2/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Durum Dağılımı;1. Ara Boy Kart (1/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Strateji Bazlı Bütçe Atıfı;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/cfo-dashboard;;https://demo.kokpitim.com/raporlar/cfo-dashboard
Süreç;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Ort. Sağlık;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Geciken Faaliyet;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Aktif Darboğaz;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Ort. CMMI;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Süreç Sağlık Dağılımı;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Süreçler (Sağlık Skoru);2. Ara Boy Kart (2/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
⚠ Aktif Darboğazlar;1. Ara Boy Kart (1/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/coo-dashboard;;https://demo.kokpitim.com/raporlar/coo-dashboard
Çalışan;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
Departman;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
Bireysel PG;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
Ort. PG / Kişi;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
2FA Oranı;Micro Boy Kart (1/6 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
Departman Dağılımı;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
Rol Dağılımı;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
🏆 En Çok Bireysel PG Sahibi (Top 10);Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
📌 En Çok Süreç Üyeliği (Top 5);Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/chro-dashboard;;https://demo.kokpitim.com/raporlar/chro-dashboard
PPTX SUNUM · 16:9;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/yatirimci-sunum;;https://demo.kokpitim.com/raporlar/yatirimci-sunum
🎯 Slayt Yapısı;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/yatirimci-sunum;;https://demo.kokpitim.com/raporlar/yatirimci-sunum
PREMIUM PDF · ~35 SAYFA;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/stratejik-yillik;;https://demo.kokpitim.com/raporlar/stratejik-yillik
📚 Bölüm Yapısı;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/stratejik-yillik;;https://demo.kokpitim.com/raporlar/stratejik-yillik
YATIRIMCI / DENETÇI HAZIR · PDF;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/esg-rapor;;https://demo.kokpitim.com/raporlar/esg-rapor
📋 Rapor İçeriği;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/esg-rapor;;https://demo.kokpitim.com/raporlar/esg-rapor
Metrik Sayısı;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/carbon-trend;;https://demo.kokpitim.com/raporlar/carbon-trend
Veri Yılı;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/carbon-trend;;https://demo.kokpitim.com/raporlar/carbon-trend
Son Yıl Toplam;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/carbon-trend;;https://demo.kokpitim.com/raporlar/carbon-trend
İlk Yıla Göre;Mini Boy Kart (1/4 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/carbon-trend;;https://demo.kokpitim.com/raporlar/carbon-trend
Yıllık Trend;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/carbon-trend;;https://demo.kokpitim.com/raporlar/carbon-trend
Stratejik odak daraltma;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-danisman;;https://demo.kokpitim.com/raporlar/ai-danisman
Kritik risk mitigasyon planı;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-danisman;;https://demo.kokpitim.com/raporlar/ai-danisman
Analiz Edilen Strateji;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-coach;;https://demo.kokpitim.com/raporlar/ai-coach
En Düşük 3;Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-coach;;https://demo.kokpitim.com/raporlar/ai-coach
🎯 En Düşük Performanslı 3 Strateji;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-coach;;https://demo.kokpitim.com/raporlar/ai-coach
AI Önerisi;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-coach;;https://demo.kokpitim.com/raporlar/ai-coach
SUNUM HAZIR;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-sunum;;https://demo.kokpitim.com/raporlar/ai-sunum
Sunumda Kullanılacak Veriler;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-sunum;;https://demo.kokpitim.com/raporlar/ai-sunum
Slayt Yapısı;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/ai-sunum;;https://demo.kokpitim.com/raporlar/ai-sunum
⚡ Hazır Sorular;1. Ara Boy Kart (1/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/nlp-query;;https://demo.kokpitim.com/raporlar/nlp-query
Cevap;2. Ara Boy Kart (2/3 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/nlp-query;;https://demo.kokpitim.com/raporlar/nlp-query
TOPLU ÜRETIM · ZIP;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bireysel-karne-batch;;https://demo.kokpitim.com/raporlar/bireysel-karne-batch
⚙ Her Karne İçeriği;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bireysel-karne-batch;;https://demo.kokpitim.com/raporlar/bireysel-karne-batch
Mobile Hub;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/mobile;;https://demo.kokpitim.com/raporlar/mobile
KPI Ölçümleri (CSV);Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bi-connector;;https://demo.kokpitim.com/raporlar/bi-connector
Stratejiler (JSON);Yarım Boy Kart (1/2 Kart Boyutu);K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bi-connector;;https://demo.kokpitim.com/raporlar/bi-connector
Power BI Bağlantı Rehberi;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bi-connector;;https://demo.kokpitim.com/raporlar/bi-connector
Tableau Bağlantı Rehberi;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bi-connector;;https://demo.kokpitim.com/raporlar/bi-connector
Excel / Google Sheets;Tam Boy Kart;K-Rapor? / Perf.Analitiği?;k_rapor_modulu?;/raporlar/bi-connector;;https://demo.kokpitim.com/raporlar/bi-connector
Strateji Kapsamı;Mini Boy Kart (1/4 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
Toplam Strateji;Mini Boy Kart (1/4 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
Genel PG Başarısı;Mini Boy Kart (1/4 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
KS Skoru;Mini Boy Kart (1/4 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
SWOT Analizi;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
TOWS Matrisi;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
PESTLE Analizi;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
GAP Analizi;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
OKR;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
BSC;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
EFQM;1. Ara Boy Kart (1/3 Kart Boyutu);K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
Strateji → Süreç Kapsama Özeti;Tam Boy Kart;K-Radar;k_radar_modulu;/k-radar/ks;;https://demo.kokpitim.com/k-radar/ks
